id_timeline	titulo	subtitulo	descricao	data_evento	data_publicacao	veiculo	referencia	pagina	midia
	Trilha Musical	Trilha musical do Filme Marajó, Barreira do Mar	"Música do Filme ""Marajó, Barreira do Mar"" de Líbero Luxardo"	1967-06-25	1967-06-25	Jornal do Brasil	Caderno B	7	
	Estreia em TV	"Primeira apresentação na TV brasileira, no programa ""Concertos para a Juventude"" da TV Globo no Estado da Guanabara."	"Apresentou-se como solista da Orquestra Nacional da Rádio MEC interpretando ""Concerto para Violão e Orquestra"" de Radamés Gnattali e ""Variações Sobre um Velho Tema"", de Weinbergerna, sob a direção de Alceu Bocchino, no auditório da TV Globo no programa ""Concertos para a Juventude""."	1967-08-06	1967-08-06	Jornal do Brasil	Caderno B	5	
	Primeiro recital no Rio	Primeiro recital, na ABI, no Estado da Guanabara, com o apoio do Governo do Pará.	"Realizou seu primeiro recital de violão no Estado da Guanabara, dia 03/10/1967, às 21h, no auditório da ABI com o programa ""Festival de Violão de Sebastião Tapajós"", promovido pela Associação Brasileira de Violão. O programa constou de 3 partes, sendo a primeira com músicas de Bach, na segunda de Albeniz e na última melodias de Villa Lobos.  Para esta apresentação, teve o apoio do governo do Pará, administrado na época por Jarbas Passarinho por intermédio do Reitor da Universidade do Pará, prof. José da Silveira Neto."	1967-10-03	1967-10-01	Correio da Manhã	"Seção ""Indicador"""	1	Trazido ao Rio por Billy Blanco, também seu maior incentivador
	Participa de inauguração	Faz uma apresentação na inauguração do Gabinete de Artes de Botafogo, levado por seu incentivador Billy Blanco	Na companhia do seu maior incentivador, Billy Blanco e esposa, faz no dia 18/10/1967, uma apresentação na inauguração do Gabinete de Artes de Botafogo (Galeria de Arte dos Barcinsky), na presença de autoridade e da alta sociedade carioca como: o Embaixador Antonio Ferreira Braga, o Conde Frederico de Limburg Stirrum, o Embaixador Rubem Braga, o Ministro e a senhora Luiz Gonzaga do Nascimento e Silva e outros. Ao final da vernissage, muitos se estenderam para ouvir até de madrugada o recital de Sebastião Tapajós que apresentou músicas de Bach, Villa-Lobos, De Falla e Billy Blanco. 	1967-10-18	1967-10-24	O Jornal	2º Caderno	4	
	Segundo recital no Rio	Segundo recital no Estado da Guanabara, na Sala Cecília Meireles	"Com o Patrocínio do Lion's Club, seção Morro da Viúva, dá o seu segundo recital no Estado da Guanabara na Temporada Oficial de Concertos de 1968 da Sala Cecília Meireles, com o seguinte programa: J.S.Bach: Bourrée e Double; Gaspar Sainz: Galhardas e Follas; Silvius Leopold Weiss: Alemanda e Giga; Napoleon Coste: Estudo Sinfónico e Tarantela; Albeniz: Asturias; Barrios: Catedral; Emílio Pujol: El Al bejorro; Nicanor Teixeira: Prelúdio e Cantiga da Suite n.º 1; Otton Salleiro: Três horas da madrugada; Baben Powel: O Vento; Villa-Lobos: Prelúdio n.º 5 e Cadência do Concerto para violão e orquestra."	1968-06-03	1968-05-21	Jornal do Brasil	Caderno B	3	Considerado por Baden Powel o melhor violonista clássico do país
	Crítica sobre disco	Crítica do primeiro LP individual	Crítica de Renzo Massarani sobre o lançamento do disco (CBD 33 177) no qual o apresenta músicas próprias, Baden Powell, Ave-Maria, de Gounod, Double de Bach, Canção do Fogo-Fátuo de Falla, Cadência de Vila-Lôbos, La Catedral de Agustin Barrios, Cantiga, de Nicanor Teixeira, Czardas de Monti.	1968-05-23	1968-05-23	Jornal do Brasil	Caderno B	2	
	Primeiro LP indivual	Primeiro LP pela Philips	"Lançamento do LP ""Sebastião Tapajós"" da Forma, etiqueta distribuída pela Philips (CBD 33 177) com linha de interpretação que fica entre o erudito e o popular: Doublé, de Bach; Canção do fogo fátuo, de Falla; Cadência (do concerto para violão e orquestra), de Villa Lobos; La Catedral, de Augustin Barrios; Cantiga, da suíte nº 2, de Nicanor Teixeira; Czardas, de V. Monti; Vento vadio, de Baden Powell; Carimbó, Crepúsculo, Valsa de um sonho e Marambiré de autoria de Tapajós e, finalmente, Ave Maria, de Gounod."	1968-06-09	1968-06-09	Diário de Pernambuco	1º Caderno	18	
	Primeiro ao vivo	Primeiro show ao vivo no Estado da Guanabara	"Participação na temporada de shows ""Samba da Vida - Semana da Música Popular"" no Teatro Nôvo, na Avenida Gomes Freire, 474, Centro da Cidade do Rio de Janeiro. No mesmo evento apresentaram-se: Marcos Valle, Milton Nascimento, Paulinho da Viola, Aracy de Almeida, Paulo Moura e seu Epteto, Billy Blanco, Maria Bethania, Ari Toledo, Jair Rodrigues, Nara Leão, Ellis Regina, Mariozinho Rocha, Guttemberg Guarabyra, Sebastião Tapajós, Copinha e sua flauta e Ataulfo Alves e suas cabrochas."	1968-06-23	1968-06-17	Jornal do Brasil	Caderno B	8	imagem-001.jpg
	Edna Savaget	Critica da Jornalista	"Um Violão de Belém<br>(Edna Savaget)<br>Chegou de manso, tímido, olhar tranquilo, riso meio esboçado, pedindo licença para conosco conviver, ainda que apenas socialmente, eventualmente, de vez em quando. Falava pouco, sorria muito, chamava, e ainda chama, todo mundo de doutor e senhor, com seu sotaque nordestino, seus dentes de ouro muito brilhantes, uma simpatia e uma bondade que são tão eloquentes quanto a sua arte prodigiosa. Veio à nossa casa trazido por um dos grandes compositores de nossa praça, dr. Billy Blanco, o arquiteto que faz geniais construções com as notas musicais e o ritmo de nossa terra. O nome do rapaz simples como ele próprio: Sebastião. E como Sebastião não é de muito falar, o pedido veio logo. Toque alguma coisa, Tião!. E o rapaz de Belém do Pará, que aliás não é de Belém, mas sim de uma cidadezinha perdida no mapa, no fim do mundo do Pará, começou a crescer em nossa sensibilidade, em nossa admiração, em nosso respeito. Um violão em suas mãos vale por uma tribuna onde o grande orador emite suas ideias seus conceitos. Os sons claros, os acordes rapidíssimos, a maravilhosa concepção de sua música falam tão alto e nos dizem tanto deste jovem, muito jovem paraense de origem humilde (e ele próprio alguém que parece estar pedindo licença sempre para ficar ao nosso lado) que suas palavras raras se tornam inúteis e ele sabiamente não as desperdiça, já que seu violão se comunica com muito mais rapidez. Habituamo-nos a ouvi-lo, a pedir mais a desejar conhecer suas próprias composições como aprendeu, com quem aprendeu como chegou perto de um instrumento pela vez primeira, como tendo nascido tão longe, filho de gente humilde, sem meios, cidadezinha perdida nos rincões do norte, como foi parar nos Estados Unidos, na Europa, no Rio, em nossa casa em nossa sensibilidade, em nossa admiração? Ainda humilde Sebastião Tapajós não responde. Toca. Sebastião Tapajós não argumenta nem explica. Executa. E nós passamos a ouvi-lo, já sem vontade de explicações ou curriculum vitae. Não precisa. Dispensa se. O que importa é ouvir de Baden Powell as palavras que ouvimos: ""Tapajós? É ótimo. É excelente. Adoro ouvi-lo. Por sinal, este violão é dele. Me emprestou..."" Em breve todos ouvirão falar deste moço tímido que toca violão como gente grande. Em breve ele será nome internacional. Não se iludam. Em breve, muito em breve, seu nome ultrapassará fronteiras, fará o mesmo em beleza e seriedade que nosso Baden fez, levará o nome de nosso país para o exterior e teremos a assinalar mais um bamba em musicalidade e virtuosismo. Salvo seja."	1968-07-07	1968-07-07	O Jornal	2º Caderno	3	imagem-009.jpg
	Noite no Rio 	Primeira abertura de Show no Estado da Guanabara	"Realiza temporada com a abertura do show da cantora Helena de Lima, diariamente, com início as 23h30, apresentado como ""Concertista de Violão"" e acompanhante do cantor romântico Ted Moreno, na Boate Sarau, Rua Gustavo Sampaio 840, Leme - Rio de Janeiro"	1968-10-15	1968-10-15	Jornal do Brasil	Caderno B	6	
	Primeiro grupo no Rio	Primeiro conjunto no Estado da Guanabara, tocando Bossa Nova	"Sob a direção musical de Sérgio Bitencourt, continua a fazer a abertura dos shows da Boate Sarau, agora participando de um conjunto fazendo solos e acompanhando os cantores Ted Moreno, Junaldo e a cantora Teresa Koury com o show ""Bossa Diferente"" às 23h. Na mesma boate, o show seguinte trazia  nomes como MBP-4, Milton Nascimento, Beth Carvalho, Claudete Soares, Clara Nunes e outros."	1968-10-22	1968-10-25	Jornal do Brasil	Caderno B	4	
	Boite Sarau	Consolida a apresentação na Boate Sarau	"O show ""Bossa Diferente"" passa a ser fixo da casa e o grupo Apresentou-se à 1h da madrugada, agora também com a participação da cantora Shirley Baiana."	1968-10-25	1968-10-25	Jornal do Brasil	Caderno B	6	
	Primeira apresentação no Teatro	Se desdobra em mais de uma apresentação por dia.	"Participa da estréia do show ""Em Terra de Sapo, de Cócoras com Ele"", com Billy Blanco e Miriam Batucada  no Teatro Sérgio Porto, Rua Miguel Lemos, 51-H, em Copacabana tocando com o ""Trio Castro Neves"" composto por Oscar Castro-Neves (piano) que as vezes substituia seu irmão Mário Castro-Neves, Iko Castro-Neves (contrabaixo) e Wilson Aimoré (bateria). Os shows ocorriam às às 21h45 dias de semana e às 18h30 e 21h30 nos finais de semana. Após a apresentação no Teatro Sérgio Porto, Tapajós corria para a Boate Sarau para realizar o segundo show da noite às 23h. Seu conjunto passa a ser considerado o grupo de músicos permanentes da Boate Sarau, abrindo os shows de cantoras como Clara Nunes e Helena de Lima."	1968-10-26	1968-10-26	Jornal do Brasil	Caderno B	7	imagem-002.jpg
	Primeira participação	Faz show com Miriam Batucada e Paulinho da Viola no Teatro Sérgio Porto em Copacabana.	"Em dezembro de 1968, participa como violonista do show ""Nosso Mundo"" no Teatro Sérgio Porto. Iniciando às 21h30, o show era uma repaginação do show de Miriam Batucada e Billy Blanco, com roteiro e direção de Elda Priani. O roteiro era baseado em textos de Carlos Drummond de Andrade, e era apresentado por Miriam Batucada, Paulinho da Viola (que substitui Billy Blanco) além do ""Trio Batucada"" composto por Edson Frederico no piano, Nilson Aimoré na bateria e Edson Bastos no contrabaixo. A produção executiva do espetáculo ficava à cargo da Tuny Produções Ltda. de Bernardo Tuny e Cláudio Bueno Rocha reponsáveis pelos eventos do teatro."	1968-12-02	1968-12-02	Jornal do Brasil	Caderno B	10	
	Teatro Tonelero	O Show é Transferido para o Teatro Tonelero	"O Show ""Nosso Mundo"" é transferido para o Teatro Toneleros, Rua Toneleros 56 em Copacabana, iniciando às 21h15, porém, alegando motivos pessoais, Paulinho da Viola abandona o elenco antes da estreia neste novo local e é substituído por Sebastião Tapajós como atração principal. Seu nome já começava a se destacar nos jornais. O Show era apresentado como: Miriam Batucada, Sebastião Tapajós e Jorge Autuori Trio com Jorge Autuori na bateria, Edson Frederico no piano e Edson Bastos no contrabaixo. Tapajós encerra as apresentações na Boate Sarau, no Leme."	1968-12-11	1968-12-10	Jornal do Brasil	Caderno B	7	imagem-005.jpg
	Concerto em Niterói	Realiza concerto no Teatro Municipal de Niterói	Realizou um Concerto no Teatro Municipal de Niterói no dia 22/01/1969, tocando Emílio Pujol, músicas do século XVI e contemporâneas como Folias de Gásper Sainz, Alemanda e Gica de Leopoldo Vaz, Vento Vadio de Baden Powell, além de músicas próprias como Valsa de um Sonho, Carimbó e Folias Escocesas.	1969-01-22	1969-01-22	Correio da Manhã	2º Caderno	2	imagem-004.jpg
	Guitarra Cósmica	"Fase de gravação do LP ""Sebastião Tapajós e Sua Guitarra Cósmica"""	"Fase de gravação do LP ""Sebastião Tapajós e Sua Guitarra Cósmica"" pela CDB (Companhia Brasileira de Discos) com repertório que inclui: ""Light My Fire"", ""Zazueira"", Yellow Days"", ""Sinhazinha"", ""Wave"" entre outras. Os arranjos são do maestro Mário Castro-Neves e produção de João Melo."	1969-06-30	1969-06-30	A Luta Democrática	2º Caderno		
	Apresentação na alta sociedade	Tocou em um casamento da alta sociedade na cidade de Búzios, no Estado do Rio de Janeiro	Toca junto com o flautista Copinha no casamento da socialite Rosa May Sampaio e Gordo Guinle na cidade de Búzios no Rio de Janeiro	1969-07-12	1969-07-13	Correio da Manhã	2º Caderno	3	
	Primeira participação em festival	Começa a compor música popular com os parceiros Luiz Carlos de Souza, repórter do Jornal Correio da Manhã e Edna Savaget, jornalista e apresentadora de TV.	"Inscreve duas músicas no IV FICP (Festival Internacional da Canção Popular), ""Calendário"" (Sebastião Tapajós e Luiz Carlos de Souza) e ""Num dia de Solidão"" (Sebastião Tapajós e Edna Savaget). A música ""Num dia de Solidão"" foi selecionada entre as 298 semifinalistas na primeira fase, porém, nenhuma das duas ficou entre as 30 escolhidas na fase final de classificação. No total, 1904 músicas foram inscritas."	1969-07-26	1969-07-26	Jornal do Brasil	1º Caderno	12	
	Teatro Opinião	Toca no Teatro Opinião	"Estreou no Teatro Opinião, dia 31/07/1969 o show ""Berimbau de Ouro"" com danças e músicas folclóricas do Grupo Folclórico Berimbau de Ouro, com a participação de Luely Figueiró e Sérgio Pinheiro Brito."	1969-07-31	1969-07-31	Correio da Manhã	2º Caderno	6	
	Concerto na Sala Cecília Meireles	Novo recital ao vivo, na sala Cecília Meireles no Estado da Guanabara	Faz novo recital na Temporada Oficial de Concertos de 1969 da Sala Cecília Meireles no dia 02/10/1969 às 21h, sob o patrocínio da ABV (Associação Brasileira de Violão), interpretando obras de Weiss, Boccherini, Albeniz, Pujol, Villa-Lobos e Vivaldi.	1969-10-02	1969-10-02	Jornal do Brasil	Caderno B	3	
	Tocando na noite	Apresentou-se na boate Pub, no bairro do Leme com Waleska e Hildo Hora.	"Estreia o show ""Fossa Nova"", desta vez na boate PUB, conhecida como ""Pontifícia Universidade dos Boêmios"", localizada na Rua Antônio Vieira 7-B, no bairro do Leme, com Maria Waleska (voz) e  Hildo Hora (cantor, compositor e harmônica). "	1969-11-08	1969-11-08	Jornal do Brasil	Caderno B	6	
	Show Guitarra Cósmica	"Inicia a temporada do show ""Sebastião Tapajós e Sua Guitarra Cósmica"" na Sala Cecília Meireles"	"Inicia temporada no dia 02/10/1969 as 21h na Sala Cecília Meireles com patrocínio da Secretaria de Educação e Cultura e da Associação Brasileira do Violão, apresentando o concerto ""Sebastião Tapajós e Sua Guitarra Cósmica"" com música de Villa-Lobos, Vivaldi, Beethoven e composições próprias. No show Tapajós fala do LP de mesmo nome que estava gravando na época. Sua temporada se inicia após o término da temporada do violonista Turíbio Santos. "	1969-10-02	1969-09-14	Correio da Manhã	4º Caderno	1	
	Boate Pub	Passa a ser uma das atrações principais da Boate Pub	A Boate Pub inicia um novo esquema de funcionamento. Sebastião Tapajós passa a se apresentar permanentemente na casa de segunda a quinta, e de quinta a sábado, a casa contrata Rildo Hora, sendo que às quintas feiras os dois artistas passam a fazer um show juntos com Maria Walesca.	1969-11-03	1969-11-03	Correio da Manhã	5º Caderno	1	imagem-006.jpg
	Lançamento de disco	"Lançamento do LP ""Sebastião Tapajós e Sua Guitarra Cósmica"""	"Após o lançamento, sai a primeira crítica do disco ""Sebastião Tapajós e Sua Guitarra Cósmica"" no Jornal Correio da Manhã"	1969-12-06	1969-12-06	Correio da Manhã	Anexo	2	imagem-007.jpg
	Matéria Jornalística	Tem matéria publicada no JB em dezembro de 1969.	Matéria publicada no Jornal do Brasil em 14/12/1969, onde Sebastião fala sobre sua carreira e origem, começando a chamar atenção da imprensa.	1969-12-14	1969-12-14	Jornal do Brasil	Caderno B	4	imagem-003.jpg
	Concerto na Sala Villa-Lobos	Apresentou-se no Instituto Villa-Lobos	Apresenta no Instituto Villa-Lobos, na Praia do Flamengo, 132, concerto de música contemporânea. Após a apresentação debates sobre as obras.	1969-02-17	1969-12-17	Correio da Manhã	1º Caderno	2	
	Diariamente na TV ao vivo	Durante o ano de 1970, continua as apresentações no PUB com Maria Walesca e participa diariamente do programa Edna Savaget na TV Tupi.	"Participa como músico no programa Edna Savaget da TV Tupi do Rio de Janeiro que ia ao ar de segunda a sexta as 11h45. Para completar sua renda ministra aulas de violão Clássico às sextas e sábados, a partir das 10h da manhã,  na ""Escola Brasileira de Música Popular"" no Museu da imagem do som, na praça Marechal Ancora 1, no Centro do Rio de Janeiro. A coordenação do MIS estava a cargo do maestro Guerra-Peixe."	1970-01-01	1970-01-01				
	Fim de temporada	Fim da temporada na boate PUB, no bairro do Leme com Waleska e Hildo Hora.	"Faz a última apresentação da temporada do show ""Fossa Nova"", encerrando suas apresentações com Maria Waleska e Rildo Hora na boate PUB."	1970-04-21	1970-04-21	Jornal do Brasil	Caderno B	6	
	Música selecionada em festival	A música Sambaquiana, em parceria com Edna Savaget, fica entre as 271 pré-selecionadas.	"Das 1264 canções inscritas para a parte brasileira do V FIC (Festival Internacional da Canção), a música ""Sambaquiana"" (Sebastião Tapajós e Edna Savaget) fica entre as 271 pré-selecionadas."	1970-07-01	1970-07-01	Jornal do Brasil	Caderno B	2	
	Solista da Orquestra Sinfônica	Apresentou-se com a Orquestra Sinfônica Nacional como solista do  Concerto de Aranjuez	"Apresentou-se com a Orquestra Sinfônica Nacional no programa ""Concertos para a Juventude"" (TV Globo em parceria com a Rádio MEC) como solista do Concerto de Aranjuez de Joaquín Rodrigo."	1970-08-03	1970-08-03	Jornal do Brasil	1º Caderno	7	
	Nova temporada na noite	"Acompanha Haroldo Costa e Helena de Lima na temporada do show ""É preciso Cantar"" na Boate Drink com apresentações de segunda-feira a sábado."	"Junto com a Haroldo Costa (voz), Helena de Lima (voz) e Lauro Miranda (teclados), estreia a temporada do show ""É preciso Cantar"" na boate Drink, Rua Princesa Isabel, 82-A, com apresentações de segunda-feira a sábado."	1970-09-14	1970-09-10	Jornal do Brasil	Caderno B	7	
	Encontro de Musiquente	Participa de show no Teatro da Praia com Clementina de Jesus, Ciro monteiro e outros artistas	"Participa do show ""Encontro de Musiquente"" no Teatro da Praia, Rua Francisco Sá, 88, em Copacabana, às segundas feiras, a partir das 21h30 com a direção de Haroldo Costa. Apresentam-se Clementina de Jesus, Ciro Monteiro, Paulinho Nogueira e os integrantes do M.A.U. (Movimento Artístico Universitário)."	1970-10-12	1970-10-09	Jornal do Brasil	Caderno B	6	
	Participação em Seminário	Participa de Seminário no Museu da Imagem e do Som	Participa de um Seminário sobre leitura e escrita musical no MIS (Museu da Imagem e do Som), onde dá um recital com peças de Tarrega, Villa-Lobos, Guerra-Peixe e Pujol.	1970-10-16	1970-10-16	O Jornal	1º Caderno	2	
	Continua a temporada	"Apresentou-se no show ""Encontro de Musiquente"", no Teatro da Praia"	"Participa do show ""Encontro de Musiquente"" no Teatro da Praia, Rua Francisco Sá 88, em Copacabana, às segundas feiras, a partir das 21h30 com a direção de Haroldo Costa, onde se apresentam também o Conjunto Nosso Samba, Mariza Gata Mansa, Eduardo Souto Neto, Biriba Boys e outros artistas."	1970-11-03	1970-11-03	O Jornal	1º Caderno	7	
	Na Boate Drink	O show da Boate Drink chega a 50 apresentações	"O show ""É preciso Cantar"" na boate Drink chega a 50 apresentações"	1970-11-09	1970-11-10	A Luta Democrática	2º Caderno	6	imagem-010.jpg
	Arnaldo Henrique e Maria de Nazareth	Apresentou-se no Clube Orfeão Portugal	Apresentou-se com os cantores paraenses Arnaldo Henriques e Maria de Nazareth no baile de aniversário de 48 anos do Clube Orfeão Portugal na Rua São Francisco Xavier, 363 no bairro do Maracanã. Do evento também participou a banda de Chiquinho do Acordeão. 	1971-05-22	1971-05-22	O Jornal	2º Caderno	4	
	Festival Villa-Lobos	"Participa do ""Festival Villa-Lobos"" na Sala Cecília Meireles"	"Participa do ""Festival Villa-Lobos"", concurso internacional de violão, na Sala Cecília Meireles no Rio de Janeiro"	1971-11-17	1971-11-17	Jornal do Brasil	1º Caderno	10	
	TV em homenagem a Ernesto N a Ernesto	"Apresentou-se no programa ""A Grande Noite"" da Tv Tupi."	"Apresentou-se no programa de TV em homenagem a Ernesto Nazareth, ""A Grande Noite"", as 20h30 pela Rede Tupi de Televisão, sob a regência de Isaac Karabchevsky, quando também participaram do programa os músicos Marlos Nobre e Fernando Lébeis."	1971-12-08	1971-12-08	O Jornal	Comunicação	3	
	O Som Como Ele é no som e	"Apresenta o show  ""O Som Como Ele É"" no teatro SENAC em Copacabana"	"Apresenta novamente temporada o show ""O Som Como Ele É"" no teatro SENAC, Rua Pompeu Loureiro, 45 em Copacabana com os músicos Jorge Nery, Pedro Sorongo e Elói Vicente. Produção de Vilma Dantas."	1971-12-17	1971-12-17	Jornal do Brasil	Caderno B	7	
	Danilo Caymmi e Paulinho Jobim	"Apresenta o show  ""O Som Como Ele É"" no teatro SENAC em Copacabana"	"Apresentou-se com o show ""O Som Como Ele É"" no teatro SENAC de Copacabana. Passam a integrar o grupo: Paulinho Jobim (teclados), Danilo Caymmi (flauta). A última apresentação foi realizada no dia 30 de dezembro."	1971-12-21	1971-12-24	O Jornal	Vida Moderna	7	
	Elza Soares	Acompanha Elza Soares no Canecão	"Acompanha Elza Soares em temporada no ""Canecão"" uma das maiores casas de show da cidade do Rio de Janeiro. Em seguida segue para Salvador para apresentações no teatro Castro Alves onde fica até a segunda semana de abril"	1972-03-07	1972-03-07	A Luta Democrática	1º Caderno	5	
	Municipal de Niterói	Faz nova apresentação no Teatro Municipal de Niterói	Volta a se apresentar no Teatro Municipal de Niterói às 21h	1972-04-08	1972-04-06	Jornal do Brasil	Classificados	3	
	O som como ele é	"Apresentou-se novamente com o show ""O Som Como Ele É"" no teatro Armando Gonzaga em Marechal Hermes"	"Apresentou-se novamente com o show ""O Som Como Ele É"" no teatro Armando Gonzaga em Marechal Hermes. Com Tapajós, participaram também: Paulinho Jobim (teclados), Danilo Caymmi (flauta), Jorge Néri (voval) e Elói Meneses (contrabaixo)"	1972-06-02	1972-05-05	O Jornal	1º Caderno	9	
	Primeira turnê européia	É convidado para integrar o grupo de músicos brasileiros em turnê na Europa, quando conhece o empresário Claus Schreiner	Em outubro de 1972 um grupo de músicos brasileiros parte para apresentações na Europa, convidados pelo produtor alemão Claus Schreiner. O grupo era composto por Maria Betânia, Paulinho da Viola, Sebastião Tapajós, Pedro Santos na percussão e Terra Trio começaram se apresentando na Holanda e seguiram um longo roteiro que incluiu Suíça, Alemanha, França e Bélgica. Ao todo, foram 34 apresentações até o final de dezembro de 1972. Nesta turnê, Maria Bethânia gravou um LP na Alemanha em que participaram todos os músicos. Em Paris realizaram show durante uma semana no teatro de Pierre Bahout, um dos mais importantes palcos de espetáculo da Europa.	1972-07-02	1972-07-02	O Jornal	Ideia Nova	5	
	Música e poesia	"Apresenta na boate ""As Transas"" o show ""A Rosa Faz o Poema, o Poema Faz a Canção"""	"Apresenta na boate ""As Transas"", no bairro do Leblon, o show ""A Rosa Faz o Poema, o Poema Faz a Canção"", reunindo música clássica e popular com poesias declamadas pelo poeta Gastão Neves."	1972-10-08	1972-10-08	Jornal do Brasil	Revista de Domingo	1	
	Primeiro LP na Argentina	Faz turne e grava disco na Argentina	Vai para a Argentina para uma temporada nos teatros argentinos e a gravação de disco pela produtora Trova.	1973-04-06	1973-04-06	A Luta Democrática	Ideia Nova	4	
	Jornal do Brasil	Dá entrevista para o Jornal do Brasil 	Dá entrevista para o Jornal do Brasil. Com sua carreira já consolidada chama mais atenção da mídia.	1973-04-12	1973-04-12	Jornal do Brasil	Caderno B	5	imagem-011.jpg
	Teatro Opinião	"Faz participação especial no show ""Noitada de Samba"" no Teatro Opinião"	"Faz participação especial no show ""Noitada de Samba"" no Teatro Opinião, na Rua Siqueira Campos 143, Copacabana, com a presença de Alaíde Cosa e Billy Blanco e outros músicos."	1973-09-03	1973-09-02	Jornal do Brasil	Caderno B	6	
	SENAC em Copacabana	Realiza com Heloísa Raso, show no teatro SENAC em Copacabana	"Em parceria com a atriz, cantora e bailarina Heloisa Raso, a direção de Amândio e o patrocínio do Ministério da Educação e Cultura, é apresentado no dia 06/01/1975 às 21h30min, no teatro SENAC, Rua Pompeu Loureiro, 45 em Copacabana, um ""show-recital"" de música, dança e interpretação."	1975-01-06	1974-12-30	A Luta Democrática	1º Caderno	7	
	Retorno à Argentina	Embarca para Buenos Aires com a atriz Heloísa Raso	Embarca para Buenos Aires com a atriz Heloísa Raso para dois meses de temporada no Teatro Astral e gravação de um LP de músicas inéditas.	1975-04-13	1975-04-14	Jornal do Brasil	1º Caderno	8	
	Turnê pelo Brasil	Com Heloísa Raso, faz excursão pelos estados do Norte do Brasil	Junto com a cantora, bailarina e atriz Heloisa Raso, fizeram excursão por diversos Estados do Norte, onde se apresentaram em auditórios de colégios, boates, teatros e clubes.	1976-02-12	1976-02-12	A Luta Democrática	1º Caderno	4	
	Vai novamente para a Europa	Seguem para excursão na Alemanha	A dupla segue para a Alemanha e durante um mês apresentando-se em diversas cidades	1976-02-12	1976-02-12	A Luta Democrática	1º Caderno	4	
